Ano,Area_Florestal(% do total)
2023,36.154994891142
2022,36.154994891142
2021,36.154994891142
2020,36.154994891142
2019,36.154994891142
2018,36.154994891142
2017,36.154994891142
2016,36.154994891142
2015,36.154994891142
2014,36.0239985328408
2013,35.893158903643
2012,35.7680969538159
2011,35.6370782836554
2010,35.5060596134949
2009,35.5377224587837
2008,35.6160489778069
2007,35.647753361758
2006,35.679457745709
2005,35.71116212966
2004,35.7311475409836
2003,35.7628415300546
2002,35.7945355191257
2001,35.8262295081967
2000,35.8579234972678
