Ano,CO2_per_capita
2023,3.53665954067309
2022,3.8017191709062
2021,3.76014625214405
2020,3.94717687468905
2019,4.51358282400518
2018,4.96972818082616
2017,5.35359164296186
2016,4.89305456071076
2015,4.99335011637296
2014,4.58326274759251
2013,4.60337018320703
2012,4.73413585593852
2011,4.86833131897901
2010,5.03622400242124
2009,5.53453188594097
2008,5.61287237370618
2007,5.8179179972539
2006,5.98192142241307
2005,6.4581042393222
2004,6.15858031692713
2003,6.00482597417051
2002,6.50103636107651
2001,6.12752132113551
2000,6.24348268563984
