Ano,CO2_produzido_por_unidade_do_PIB
2023,0.157765715656554
2022,0.172469352264603
2021,0.181231964028332
2020,0.199566912396532
2019,0.209260679345275
2018,0.236678804102104
2017,0.26289236123223
2016,0.248848017891394
2015,0.259856731196256
2014,0.243313046557953
2013,0.247523342712428
2012,0.253436616797653
2011,0.251079000023608
2010,0.255662971417447
2009,0.285710299120897
2008,0.280440650703833
2007,0.291193344719702
2006,0.306304766807682
2005,0.335456057019286
2004,0.321801271899162
2003,0.318616870535352
2002,0.340455555204035
2001,0.321602497999626
2000,0.331710324831777
