Ano,Esperança_de_Vida
2023,82.3292682926829
2022,81.6317073170732
2021,81.3780487804878
2020,81.3292682926829
2019,81.6756097560976
2018,81.3243902439024
2017,81.4243902439025
2016,81.1243902439025
2015,81.1243902439025
2014,81.1219512195122
2013,80.7219512195122
2012,80.3731707317073
2011,80.4707317073171
2010,79.0268292682927
2009,78.7268292682927
2008,78.5243902439025
2007,78.3219512195122
2006,78.419512195122
2005,78.0707317073171
2004,77.6707317073171
2003,77.219512195122
2002,77.0658536585366
2001,76.8146341463415
2000,76.3146341463415
