Ano,Gastos_com_Educacao(% PIB)
2023,
2022,4.55160999298096
2021,4.77341985702515
2020,4.86407995223999
2019,4.6275200843811
2018,4.6793999671936
2017,5.02685022354126
2016,
2015,4.89425992965698
2014,5.12005996704102
2013,5.26528978347778
2012,4.94226980209351
2011,5.11688995361328
2010,5.40499019622803
2009,5.56315994262695
2008,4.69608020782471
2007,4.92149019241333
2006,4.90769004821777
2005,5.07393980026245
2004,5.04640007019043
2003,5.28152990341187
2002,5.25872993469238
2001,5.33713006973267
2000,5.16386985778809
