Ano,Incricoes_Escolares
2023,110.98851776123
2022,108.103523254395
2021,105.672172546387
2020,105.753471374512
2019,104.897682189941
2018,104.378570556641
2017,104.209732055664
2016,105.035911560059
2015,106.229377746582
2014,107.813301086426
2013,109.373641967773
2012,108.395370483398
2011,109.651611328125
2010,109.77262878418
2009,110.981079101562
2008,112.717491149902
2007,113.063117980957
2006,113.981163024902
2005,114.44255065918
2004,114.672149658203
2003,115.237442016602
2002,115.040893554688
2001,119.482360839844
2000,
