Ano,Investimento_Estrangeiro
2023,3.96325428743124
2022,5.08368921917484
2021,3.60836004516304
2020,1.8141455418251
2019,4.5038935303436
2018,3.46584287446499
2017,5.02041551787587
2016,3.56282992803299
2015,0.63522205292535
2014,5.43851031792652
2013,6.43654323197598
2012,7.21535195239496
2011,4.23648756430888
2010,3.77376819569615
2009,2.35133912553896
2008,2.96892594201258
2007,2.50093088549298
2006,6.41633004151996
2005,1.70741232717781
2004,1.312247289237
2003,6.26697257909762
2002,0.436137292252839
2001,5.02761444190448
2000,6.14861920837231
