Ano,PIB_per_capita
2023,27634.6183139773
2022,24620.5197587181
2021,24711.4510062111
2020,22299.4044062173
2019,23343.3628970034
2018,23541.1401075289
2017,21442.3842768879
2016,19980.2808866516
2015,19215.7813014347
2014,22120.6850127107
2013,21676.4859642714
2012,20593.4274224109
2011,23246.5425416481
2010,22551.935098809
2009,23151.2154130712
2008,24949.0413566739
2007,22811.0564844365
2006,19839.4540499032
2005,18780.12751241
2004,18064.1580932987
2003,15797.7821340276
2002,12936.6928204482
2001,11734.7649743954
2000,11526.3720667968
