Ano,Producao_de_Energia_Renovavel(% do total)
2023,
2022,
2021,64.9061770532965
2020,59.6286973887486
2019,54.2392105956278
2018,51.3732980079147
2017,40.9009944305161
2016,55.5232972533939
2015,48.6663487218619
2014,61.3689632968448
2013,59.2373967062102
2012,43.7842922727078
2011,47.0629598566582
2010,53.1556664817896
2009,37.8755352839245
2008,32.9329838604429
2007,35.0771819182257
2006,33.0084419159479
2005,18.5657877785889
2004,27.9183239108746
2003,38.491419789977
2002,22.1007656104279
2001,34.5782536713324
2000,30.2988757883192
