Ano,Crescimento_PIB,PIB_per_capita,CO2_produzido_por_unidade_do_PIB,CO2_per_capita,Inflação(% anual),Desemprego(% trabalhadores),Divida_do_Governo(% PIB),Investimento_Estrangeiro,Populacao,Esperança_de_Vida,Acesso_a_Eletricidade(% populacao),Utilizadores_de_Internet(% populacao),Gastos_com_Educacao(% PIB),Gastos_com_Saude_per_capita(US$),Taxa_de_Albetizacao_adulta,Consumo_de_Energia_Renovavel(% do total),Producao_de_Energia_Renovavel(% do total),Area_Florestal(% do total),Despesas_Governo_na_Educacao,Incricoes_Escolares
2023,3.09997909018263,27634.6183139773,0.157765715656554,3.53665954067309,4.31128191898672,6.498,,3.96325428743124,10578174,82.3292682926829,100,85.79012676,,2762.26293945,,,,36.154994891142,,110.98851776123
2022,6.98584137580278,24620.5197587181,0.172469352264603,3.8017191709062,7.83269124233323,6.138,,5.08368921917484,10434332,81.6317073170732,100,84.49690644,4.55160999298096,2600.56665039,,,,36.154994891142,4.55160999298096,108.103523254395
2021,5.55875672070374,24711.4510062111,0.181231964028332,3.76014625214405,1.26565719069044,6.712,,3.60836004516304,10361831,81.3780487804878,100,82.30902804,4.77341985702515,2764.04296875,,32.3,64.9061770532965,36.154994891142,4.77341985702515,105.672172546387
2020,-8.20463159324387,22299.4044062173,0.199566912396532,3.94717687468905,-0.0124383299575305,6.85,,1.8141455418251,10297081,81.3292682926829,100,78.26166044,4.86407995223999,2328.35571289,,31.3,59.6286973887486,36.154994891142,4.86407995223999,105.753471374512
2019,2.74568432648596,23343.3628970034,0.209260679345275,4.51358282400518,0.338178410046034,6.422,,4.5038935303436,10286263,81.6756097560976,100,75.3463779408712,4.6275200843811,2209.50219727,,28.2,54.2392105956278,36.154994891142,4.6275200843811,104.897682189941
2018,2.94628343449202,23541.1401075289,0.236678804102104,4.96972818082616,0.993715683468326,6.966,,3.46584287446499,10283822,81.3243902439024,100,74.6609681487507,4.6793999671936,2206.71240234,,27.5,51.3732980079147,36.154994891142,4.6793999671936,104.378570556641
2017,3.31472008175986,21442.3842768879,0.26289236123223,5.35359164296186,1.36861411643472,8.878,,5.02041551787587,10300300,81.4243902439025,100,73.7912139515729,5.02685022354126,1991.32263184,,24.4,40.9009944305161,36.154994891142,5.02685022354126,104.209732055664
2016,2.00414129666575,19980.2808866516,0.248848017891394,4.89305456071076,0.607397074641719,11.058,,3.56282992803299,10325452,81.1243902439025,100,70.423567088723,,1870.31848145,,29.0,55.5232972533939,36.154994891142,,105.035911560059
2015,1.58979803702681,19215.7813014347,0.259856731196256,4.99335011637296,0.48793862390472,12.405,,0.63522205292535,10358076,81.1243902439025,100,68.6328614804299,4.89425992965698,1787.03759766,,27.2,48.6663487218619,36.154994891142,4.89425992965698,106.229377746582
2014,0.741391420706506,22120.6850127107,0.243313046557953,4.58326274759251,-0.278153367467428,13.88,,5.43851031792652,10401062,81.1219512195122,100,64.5924200648949,5.12005996704102,2056.61474609,,30.5,61.3689632968448,36.0239985328408,5.12005996704102,107.813301086426
2013,-0.984106574148328,21676.4859642714,0.247523342712428,4.60337018320703,0.274416666666663,16.237,,6.43654323197598,10457295,80.7219512195122,100,62.0956,5.26528978347778,2027.42089844,,30.2,59.2373967062102,35.893158903643,5.26528978347778,109.373641967773
2012,-4.05090267621935,20593.4274224109,0.253436616797653,4.73413585593852,2.77333854051586,15.509,,7.21535195239496,10514844,80.3731707317073,100,60.3399974868057,4.94226980209351,1976.91479492,,25.5,43.7842922727078,35.7680969538159,4.94226980209351,108.395370483398
2011,-1.71352745905065,23246.5425416481,0.251079000023608,4.86833131897901,3.65301100430724,12.715,,4.23648756430888,10557560,80.4707317073171,100,55.2499968797194,5.11688995361328,2255.96923828,94.4800033569336,27.2,47.0629598566582,35.6370782836554,5.11688995361328,109.651611328125
2010,1.73762453640036,22551.935098809,0.255662971417447,5.03622400242124,1.40257289895369,10.771,,3.77376819569615,10573100,79.0268292682927,100,53.3,5.40499019622803,2259.30371094,,27.8,53.1556664817896,35.5060596134949,5.40499019622803,109.77262878418
2009,-3.12207827545093,23151.2154130712,0.285710299120897,5.53453188594097,-0.835530021504157,9.432,,2.35133912553896,10568247,78.7268292682927,100,48.27,5.56315994262695,2346.54199219,,24.9,37.8755352839245,35.5377224587837,5.56315994262695,110.981079101562
2008,0.319247344434558,24949.0413566739,0.280440650703833,5.61287237370618,2.58850657657959,7.553,,2.96892594201258,10558177,78.5243902439025,100,44.13,4.69608020782471,2391.98120117,,23.2,32.9329838604429,35.6160489778069,4.69608020782471,112.717491149902
2007,2.50657937751231,22811.0564844365,0.291193344719702,5.8179179972539,2.45396528138743,7.965,,2.50093088549298,10542964,78.3219512195122,100,42.09,4.92149019241333,2112.52880859,,23.1,35.0771819182257,35.647753361758,4.92149019241333,113.063117980957
2006,1.62503532956156,19839.4540499032,0.306304766807682,5.98192142241307,3.1076654587105,7.649,,6.41633004151996,10522288,78.419512195122,100,38.01,4.90769004821777,1857.64526367,,22.3,33.0084419159479,35.679457745709,4.90769004821777,113.981163024902
